"customerid","country","recency","frequency","monetary","r_score","f_score","m_score","rfm_score","segment"
"17852","United Kingdom","12","2","114.34",1,4,5,"145","At Risk"
"15009","United Kingdom","12","3","1261.78",1,3,2,"132","Others"
"17411","United Kingdom","12","3","778.94",1,3,3,"133","At Risk"
"17924","United Kingdom","12","7","2962.50",1,1,1,"111","Sleeping"
"15022","United Kingdom","12","4","905.04",1,2,3,"123","Others"
"14470","United Kingdom","12","2","461.19",1,3,4,"134","Big Spenders"
"18112","United Kingdom","12","2","352.69",1,4,4,"144","At Risk"
"17739","United Kingdom","12","7","2791.35",1,1,1,"111","Sleeping"
"13991","United Kingdom","12","6","855.97",1,1,3,"113","Others"
"16024","United Kingdom","12","1","251.24",1,4,4,"144","At Risk"
"14215","United Kingdom","12","6","1789.72",1,1,2,"112","Sleeping"
"13081","United Kingdom","12","11","28337.38",1,1,1,"111","Sleeping"
"17651","United Kingdom","12","10","3945.00",1,1,1,"111","Sleeping"
"15721","United Kingdom","12","1","507.08",1,5,3,"153","At Risk"
"14577","United Kingdom","13","4","859.71",1,2,3,"123","Others"
"13782","United Kingdom","13","6","912.00",1,1,3,"113","Others"
"14878","United Kingdom","13","9","1485.54",1,1,2,"112","Sleeping"
"17236","United Kingdom","13","6","916.13",1,1,3,"113","Others"
"13232","United Kingdom","13","7","1357.60",1,1,2,"112","Sleeping"
"17769","United Kingdom","13","10","3997.98",1,1,1,"111","Sleeping"
"18145","United Kingdom","13","4","2861.55",1,2,1,"121","Sleeping"
"16983","United Kingdom","13","7","1931.25",1,1,2,"112","Sleeping"
"17812","United Kingdom","13","4","732.16",1,2,3,"123","Others"
"16942","United Kingdom","13","9","1920.59",1,1,2,"112","Sleeping"
"15747","United Kingdom","13","3","974.04",1,2,2,"122","Sleeping"
"17365","United Kingdom","13","8","4801.56",1,1,1,"111","Sleeping"
"14859","United Kingdom","13","4","1353.74",1,2,2,"122","Sleeping"
"18156","United Kingdom","13","2","734.94",1,3,3,"133","At Risk"
"17864","United Kingdom","13","3","597.50",1,2,3,"123","Others"
"13571","United Kingdom","13","12","2092.32",1,1,1,"111","Sleeping"
"13064","United Kingdom","13","4","1119.49",1,2,2,"122","Sleeping"
"16407","United Kingdom","13","10","2126.93",1,1,1,"111","Sleeping"
"13048","United Kingdom","14","4","1835.91",2,2,2,"222","Sleeping"
"13437","United Kingdom","14","7","3408.06",2,1,1,"211","Sleeping"
"12438","Norway","14","2","2906.85",2,3,1,"231","Others"
"13149","United Kingdom","14","4","1676.06",2,2,2,"222","Sleeping"
"16814","United Kingdom","14","21","6509.10",2,1,1,"211","Sleeping"
"14710","United Kingdom","14","4","606.13",2,2,3,"223","Others"
"17562","United Kingdom","14","7","1122.38",2,1,2,"212","Sleeping"
"13256","United Kingdom","14","1","0",2,5,5,"255","At Risk"
"17813","United Kingdom","14","5","1770.88",2,2,2,"222","Sleeping"
"17329","United Kingdom","14","2","523.11",2,3,3,"233","At Risk"
"17557","United Kingdom","14","3","541.46",2,3,3,"233","At Risk"
"16327","United Kingdom","14","6","3844.22",2,1,1,"211","Sleeping"
"13332","United Kingdom","14","1","350.90",2,4,4,"244","At Risk"
"14946","United Kingdom","14","1","100.90",2,4,5,"245","At Risk"
"14111","United Kingdom","14","4","692.85",2,2,3,"223","Others"
"15186","United Kingdom","14","2","411.41",2,3,4,"234","Big Spenders"
"15473","United Kingdom","14","7","1771.20",2,1,2,"212","Sleeping"
"16668","United Kingdom","15","6","306.72",2,1,4,"214","Big Spenders"
"17727","United Kingdom","15","1","1060.25",2,4,2,"242","Others"
"17624","United Kingdom","15","2","843.48",2,3,3,"233","At Risk"
"12681","France","15","22","13787.54",2,1,1,"211","Sleeping"
"18172","United Kingdom","15","20","7561.68",2,1,1,"211","Sleeping"
"13050","United Kingdom","15","17","5836.86",2,1,1,"211","Sleeping"
"12709","Germany","15","15","9736.52",2,1,1,"211","Sleeping"
"14709","United Kingdom","15","13","4921.04",2,1,1,"211","Sleeping"
"17975","United Kingdom","15","13","4488.81",2,1,1,"211","Sleeping"
"15725","United Kingdom","15","1","415.25",2,5,4,"254","At Risk"
"13525","United Kingdom","15","2","628.78",2,3,3,"233","At Risk"
"13184","United Kingdom","15","10","1701.29",2,1,2,"212","Sleeping"
"16570","United Kingdom","15","10","3738.40",2,1,1,"211","Sleeping"
"12705","Germany","15","9","6868.29",2,1,1,"211","Sleeping"
"15737","United Kingdom","15","8","1205.12",2,1,2,"212","Sleeping"
"16856","United Kingdom","15","1","35.40",2,5,5,"255","At Risk"
"15134","United Kingdom","15","8","1387.99",2,1,2,"212","Sleeping"
"15953","United Kingdom","15","8","1659.38",2,1,2,"212","Sleeping"
"16616","United Kingdom","15","2","500.42",2,3,3,"233","At Risk"
"14756","United Kingdom","15","1","738.96",2,5,3,"253","At Risk"
"16609","United Kingdom","15","7","5493.46",2,1,1,"211","Sleeping"
"13579","United Kingdom","15","2","467.04",2,3,4,"234","Big Spenders"
"17323","United Kingdom","15","7","921.07",2,1,3,"213","Others"
"16719","United Kingdom","15","7","1790.42",2,1,2,"212","Sleeping"
"12620","France","15","3","1339.41",2,3,2,"232","Others"
"15382","United Kingdom","15","6","5955.71",2,1,1,"211","Sleeping"
"15117","United Kingdom","15","5","1551.78",2,2,2,"222","Sleeping"
"13589","United Kingdom","15","2","379.65",2,3,4,"234","Big Spenders"
"18161","United Kingdom","15","5","1618.69",2,2,2,"222","Sleeping"
"17516","United Kingdom","15","5","768.08",2,2,3,"223","Others"
"15872","United Kingdom","15","2","360.93",2,4,4,"244","At Risk"
"18184","United Kingdom","15","1","49.80",2,5,5,"255","At Risk"
"17348","United Kingdom","15","5","1159.52",2,2,2,"222","Sleeping"
"13719","United Kingdom","15","5","1041.68",2,2,2,"222","Sleeping"
"17302","United Kingdom","15","5","1135.63",2,2,2,"222","Sleeping"
"14277","France","15","3","4216.20",2,3,1,"231","Others"
"13995","United Kingdom","15","5","1393.69",2,2,2,"222","Sleeping"
"14966","United Kingdom","15","1","191.32",2,5,5,"255","At Risk"
"16566","United Kingdom","15","5","614.66",2,2,3,"223","Others"
"16885","United Kingdom","15","3","471.51",2,2,4,"224","Big Spenders"
"13207","United Kingdom","15","2","250.26",2,4,4,"244","At Risk"
"17345","United Kingdom","15","4","537.74",2,2,3,"223","Others"
"14805","United Kingdom","15","4","554.65",2,2,3,"223","Others"
"15793","United Kingdom","15","3","965.61",2,2,2,"222","Sleeping"
"17385","United Kingdom","15","1","261.11",2,4,4,"244","At Risk"
"13978","United Kingdom","15","2","196.79",2,4,5,"245","At Risk"
"17767","United Kingdom","15","1","271.20",2,4,4,"244","At Risk"
"15428","United Kingdom","15","1","93.78",2,4,5,"245","At Risk"
"12937","United Kingdom","15","4","1504.27",2,2,2,"222","Sleeping"
"17247","United Kingdom","15","1","282.19",2,4,4,"244","At Risk"
"14591","United Kingdom","15","4","1447.14",2,2,2,"222","Sleeping"
"12531","Germany","15","1","125.22",2,4,5,"245","At Risk"
"17458","United Kingdom","15","1","316.50",2,4,4,"244","At Risk"
"14703","United Kingdom","15","1","318.17",2,4,4,"244","At Risk"
"18130","United Kingdom","15","3","1059.39",2,2,2,"222","Sleeping"
"17096","United Kingdom","15","4","1022.13",2,2,2,"222","Sleeping"
"18188","United Kingdom","15","3","2001.04",2,2,2,"222","Sleeping"
"13174","United Kingdom","16","3","2817.03",2,2,1,"221","Sleeping"
"17671","United Kingdom","16","4","1572.71",2,2,2,"222","Sleeping"
"16157","United Kingdom","16","3","656.69",2,3,3,"233","At Risk"
"12557","Spain","16","5","11990.96",2,2,1,"221","Sleeping"
"16653","United Kingdom","16","2","1212.66",2,3,2,"232","Others"
"17809","United Kingdom","16","12","5411.91",2,1,1,"211","Sleeping"
"16173","United Kingdom","16","6","1418.32",2,1,2,"212","Sleeping"
"15916","United Kingdom","16","8","1528.09",2,1,2,"212","Sleeping"
"17139","United Kingdom","16","12","10668.47",2,1,1,"211","Sleeping"
"15482","United Kingdom","16","12","11054.96",2,1,1,"211","Sleeping"
"14675","United Kingdom","16","1","604.75",2,5,3,"253","At Risk"
"13831","United Kingdom","16","6","2202.99",2,1,1,"211","Sleeping"
"15743","United Kingdom","16","4","784.46",2,2,3,"223","Others"
"15502","United Kingdom","16","12","10384.93",2,1,1,"211","Sleeping"
"14733","United Kingdom","16","12","9585.91",2,1,1,"211","Sleeping"
"17725","United Kingdom","16","11","3439.08",2,1,1,"211","Sleeping"
"13644","United Kingdom","16","4","2624.26",2,2,1,"221","Sleeping"
"12494","France","16","7","1246.10",2,1,2,"212","Sleeping"
"14099","United Kingdom","16","11","3104.17",2,1,1,"211","Sleeping"
"15594","United Kingdom","16","5","1771.78",2,2,2,"222","Sleeping"
"14987","United Kingdom","16","2","326.40",2,4,4,"244","At Risk"
"12421","Spain","16","4","807.04",2,2,3,"223","Others"
"15393","United Kingdom","16","2","231.86",2,4,5,"245","At Risk"
"16660","United Kingdom","16","4","1267.65",2,2,2,"222","Sleeping"
"12476","Germany","16","11","6816.42",2,1,1,"211","Sleeping"
"17228","United Kingdom","16","8","1906.09",2,1,2,"212","Sleeping"
"17135","United Kingdom","16","7","1139.73",2,1,2,"212","Sleeping"
"17469","United Kingdom","16","5","1870.97",2,2,2,"222","Sleeping"
"17034","United Kingdom","16","3","745.52",2,3,3,"233","At Risk"
"15005","United Kingdom","16","28","6316.57",2,1,1,"211","Sleeping"
"16596","United Kingdom","16","2","250.15",2,4,4,"244","At Risk"
"15858","United Kingdom","16","5","1438.85",2,2,2,"222","Sleeping"
"15034","United Kingdom","16","8","4308.61",2,1,1,"211","Sleeping"
"16482","United Kingdom","16","1","220.62",2,5,5,"255","At Risk"
"14607","United Kingdom","16","14","16569.50",2,1,1,"211","Sleeping"
"16057","United Kingdom","16","7","2263.12",2,1,1,"211","Sleeping"
"16189","United Kingdom","16","2","215.48",2,4,5,"245","At Risk"
"15398","United Kingdom","16","2","1345.53",2,3,2,"232","Others"
"13018","United Kingdom","16","28","7277.70",2,1,1,"211","Sleeping"
"17133","United Kingdom","16","7","4892.24",2,1,1,"211","Sleeping"
"15253","United Kingdom","16","5","918.20",2,2,3,"223","Others"
"13588","United Kingdom","16","9","2478.95",2,1,1,"211","Sleeping"
"18084","United Kingdom","16","1","90.48",2,4,5,"245","At Risk"
"13139","United Kingdom","16","7","5064.94",2,1,1,"211","Sleeping"
"17410","United Kingdom","16","5","1214.72",2,2,2,"222","Sleeping"
"14335","Germany","16","2","468.26",2,3,4,"234","Big Spenders"
"13350","United Kingdom","16","2","979.12",2,3,2,"232","Others"
"16824","United Kingdom","16","2","460.64",2,3,4,"234","Big Spenders"
"12757","Portugal","16","13","7857.10",2,1,1,"211","Sleeping"
"13899","United Kingdom","16","2","388.52",2,3,4,"234","Big Spenders"
"13277","United Kingdom","16","4","258.40",2,2,4,"224","Big Spenders"
"15632","United Kingdom","16","8","3285.31",2,1,1,"211","Sleeping"
"12948","United Kingdom","16","7","2064.95",2,1,1,"211","Sleeping"
"17422","United Kingdom","16","6","1979.37",2,1,2,"212","Sleeping"
"12619","Germany","16","9","3641.24",2,1,1,"211","Sleeping"
"14539","United Kingdom","16","2","537.48",2,3,3,"233","At Risk"
"17463","United Kingdom","16","5","1896.41",2,2,2,"222","Sleeping"
"12388","Australia","16","6","2780.66",2,1,1,"211","Sleeping"
"13638","United Kingdom","16","1","122.64",2,4,5,"245","At Risk"
"15270","United Kingdom","16","7","2379.49",2,1,1,"211","Sleeping"
"14744","United Kingdom","16","7","1099.98",2,1,2,"212","Sleeping"
"16343","United Kingdom","16","2","370.48",2,3,4,"234","Big Spenders"
"12483","Sweden","17","8","2484.98",2,1,1,"211","Sleeping"
"13238","United Kingdom","17","4","700.73",2,2,3,"223","Others"
"13322","United Kingdom","17","1","199.48",2,5,5,"255","At Risk"
"17500","United Kingdom","17","3","1138.00",2,3,2,"232","Others"
"12474","Germany","17","18","7375.79",2,1,1,"211","Sleeping"
"17759","United Kingdom","17","3","834.99",2,3,3,"233","At Risk"
"13940","United Kingdom","17","4","839.14",2,2,3,"223","Others"
"15965","United Kingdom","17","4","845.64",2,2,3,"223","Others"
"13650","United Kingdom","17","6","1836.34",2,1,2,"212","Sleeping"
"16722","United Kingdom","17","13","4730.81",2,1,1,"211","Sleeping"
"17519","United Kingdom","17","6","1844.02",2,1,2,"212","Sleeping"
"14506","United Kingdom","17","5","2012.17",2,2,2,"222","Sleeping"
"16066","United Kingdom","17","5","1521.87",2,2,2,"222","Sleeping"
"13448","United Kingdom","17","6","3539.37",2,2,1,"221","Sleeping"
"13488","United Kingdom","17","13","8968.31",2,1,1,"211","Sleeping"
"12656","France","17","5","4051.17",2,2,1,"221","Sleeping"
"13569","United Kingdom","17","2","373.75",2,3,4,"234","Big Spenders"
"13986","United Kingdom","17","1","320.46",2,4,4,"244","At Risk"
"15949","United Kingdom","17","2","364.72",2,3,4,"234","Big Spenders"
"17659","United Kingdom","17","12","2999.46",2,1,1,"211","Sleeping"
"12936","United Kingdom","17","4","1063.90",2,2,2,"222","Sleeping"
"13742","United Kingdom","17","12","3131.02",2,1,1,"211","Sleeping"
"15901","United Kingdom","17","3","363.88",2,2,4,"224","Big Spenders"
"16079","United Kingdom","17","3","1352.00",2,3,2,"232","Others"
"15977","United Kingdom","17","2","1054.73",2,3,2,"232","Others"
"16670","United Kingdom","17","11","4095.90",2,1,1,"211","Sleeping"
"16900","United Kingdom","17","3","887.11",2,3,3,"233","At Risk"
"17297","United Kingdom","17","1","131.78",2,5,5,"255","At Risk"
"14020","United Kingdom","17","2","642.80",2,3,3,"233","At Risk"
"12775","Netherlands","17","5","1386.04",2,2,2,"222","Sleeping"
"16985","United Kingdom","17","10","5464.12",2,1,1,"211","Sleeping"
"15150","United Kingdom","17","10","5314.47",2,1,1,"211","Sleeping"
"18249","United Kingdom","17","1","95.34",2,4,5,"245","At Risk"
"13502","United Kingdom","17","3","292.00",2,3,4,"234","Big Spenders"
"12465","Belgium","17","2","742.19",2,3,3,"233","At Risk"
"14336","United Kingdom","17","4","1614.91",2,2,2,"222","Sleeping"
"12920","United Kingdom","17","1","164.23",2,5,5,"255","At Risk"
"14049","United Kingdom","17","4","5681.72",2,2,1,"221","Sleeping"
"16422","United Kingdom","17","51","34684.40",2,1,1,"211","Sleeping"
"16633","United Kingdom","17","6","2883.10",2,1,1,"211","Sleeping"
"14768","United Kingdom","17","2","192.60",2,4,5,"245","At Risk"
"16164","United Kingdom","17","3","822.48",2,3,3,"233","At Risk"
"14505","United Kingdom","17","8","5905.64",2,1,1,"211","Sleeping"
"15814","United Kingdom","17","4","1945.33",2,2,2,"222","Sleeping"
"17338","United Kingdom","17","8","6643.93",2,1,1,"211","Sleeping"
"14912","Italy","17","2","867.85",2,3,3,"233","At Risk"
"17700","United Kingdom","17","4","2534.64",2,2,1,"221","Sleeping"
"12452","Switzerland","17","2","430.57",2,3,4,"234","Big Spenders"
"15634","United Kingdom","17","1","243.55",2,5,5,"255","At Risk"
"16020","United Kingdom","17","3","851.01",2,3,3,"233","At Risk"
"16255","United Kingdom","17","8","2619.91",2,1,1,"211","Sleeping"
"17360","United Kingdom","17","3","585.79",2,2,3,"223","Others"
"17371","United Kingdom","17","3","423.89",2,3,4,"234","Big Spenders"
"16185","United Kingdom","17","2","529.41",2,3,3,"233","At Risk"
"14581","United Kingdom","17","1","138.60",2,5,5,"255","At Risk"
"14334","United Kingdom","17","8","2552.21",2,1,1,"211","Sleeping"
"12586","Italy","17","1","196.94",2,5,5,"255","At Risk"
"17685","United Kingdom","17","7","3191.53",2,1,1,"211","Sleeping"
"14329","United Kingdom","17","7","5014.84",2,1,1,"211","Sleeping"
"16261","United Kingdom","17","4","746.83",2,2,3,"223","Others"
"14790","United Kingdom","17","4","745.06",2,2,3,"223","Others"
"14205","United Kingdom","17","2","466.70",2,3,4,"234","Big Spenders"
"15727","United Kingdom","17","7","5178.96",2,1,1,"211","Sleeping"
"12504","Germany","18","2","482.05",2,3,4,"234","Big Spenders"
"14551","United Kingdom","18","2","186.23",2,4,5,"245","At Risk"
"13499","United Kingdom","18","5","1159.11",2,2,2,"222","Sleeping"
"16330","United Kingdom","18","3","251.91",2,2,4,"224","Big Spenders"
"13739","United Kingdom","18","1","216.90",2,5,5,"255","At Risk"
"17600","United Kingdom","18","1","161.67",2,5,5,"255","At Risk"
"15132","United Kingdom","18","5","977.93",2,2,2,"222","Sleeping"
"16748","United Kingdom","18","5","1515.90",2,2,2,"222","Sleeping"
"13403","United Kingdom","18","1","75.00",2,5,5,"255","At Risk"
"12904","United Kingdom","18","2","509.58",2,3,3,"233","At Risk"
"13247","United Kingdom","18","4","501.12",2,2,3,"223","Others"
"17100","United Kingdom","18","2","971.74",2,3,2,"232","Others"
"16607","United Kingdom","18","14","3347.71",2,1,1,"211","Sleeping"
"17625","United Kingdom","18","4","2047.00",2,2,2,"222","Sleeping"
"14030","United Kingdom","18","8","2360.09",2,1,1,"211","Sleeping"
"14657","United Kingdom","18","4","848.22",2,2,3,"223","Others"
"15845","United Kingdom","18","8","3711.77",2,1,1,"211","Sleeping"
"16107","United Kingdom","18","7","3204.16",2,1,1,"211","Sleeping"
"13456","United Kingdom","18","6","1766.72",2,1,2,"212","Sleeping"
"13862","United Kingdom","18","8","2209.36",2,1,1,"211","Sleeping"
"17075","United Kingdom","18","4","834.12",2,2,3,"223","Others"
"17253","United Kingdom","18","1","178.26",2,5,5,"255","At Risk"
"16352","United Kingdom","18","2","494.44",2,3,3,"233","At Risk"
"17155","United Kingdom","18","2","251.70",2,4,4,"244","At Risk"
"13681","United Kingdom","18","4","827.83",2,2,3,"223","Others"
"16956","United Kingdom","18","1","308.74",2,4,4,"244","At Risk"
"14297","United Kingdom","18","4","1305.33",2,2,2,"222","Sleeping"
"15699","United Kingdom","18","1","309.65",2,4,4,"244","At Risk"
"14834","United Kingdom","18","6","1720.30",2,1,2,"212","Sleeping"
"13282","United Kingdom","18","3","1132.14",2,3,2,"232","Others"
"13268","United Kingdom","18","11","3214.69",2,1,1,"211","Sleeping"
"15971","United Kingdom","18","12","4199.85",2,1,1,"211","Sleeping"
"15116","United Kingdom","18","4","1352.75",2,2,2,"222","Sleeping"
"16532","United Kingdom","18","3","6748.80",2,3,1,"231","Others"
"15093","United Kingdom","18","6","4597.02",2,1,1,"211","Sleeping"
"16369","United Kingdom","18","3","1553.66",2,3,2,"232","Others"
"15163","United Kingdom","18","2","304.47",2,4,4,"244","At Risk"
"17073","United Kingdom","18","4","1446.09",2,2,2,"222","Sleeping"
"17432","United Kingdom","18","2","365.76",2,3,4,"234","Big Spenders"
"14515","United Kingdom","18","6","2102.09",2,1,1,"211","Sleeping"
"14482","United Kingdom","18","6","2068.15",2,1,1,"211","Sleeping"
"14467","United Kingdom","18","4","598.76",2,2,3,"223","Others"
"14198","United Kingdom","18","4","701.40",2,2,3,"223","Others"
"15179","United Kingdom","18","5","2206.95",2,2,1,"221","Sleeping"
"16655","United Kingdom","18","6","3794.52",2,1,1,"211","Sleeping"
"18139","United Kingdom","18","6","8438.34",2,1,1,"211","Sleeping"
"17453","United Kingdom","18","2","486.72",2,3,4,"234","Big Spenders"
"13363","United Kingdom","18","2","992.50",2,3,2,"232","Others"
"16365","United Kingdom","18","9","1540.42",2,1,2,"212","Sleeping"
"16311","United Kingdom","18","2","616.26",2,3,3,"233","At Risk"
"17324","United Kingdom","18","4","990.23",2,2,2,"222","Sleeping"
"16128","United Kingdom","18","5","1880.22",2,2,2,"222","Sleeping"
"13246","United Kingdom","18","6","1987.30",2,1,2,"212","Sleeping"
"14424","United Kingdom","18","1","322.08",2,4,4,"244","At Risk"
"15106","United Kingdom","18","5","1422.52",2,2,2,"222","Sleeping"
"15497","United Kingdom","18","2","1262.20",2,3,2,"232","Others"
"17010","United Kingdom","18","1","195.36",2,5,5,"255","At Risk"
"15105","United Kingdom","18","7","2298.93",2,1,1,"211","Sleeping"
"15115","United Kingdom","18","1","340.11",2,4,4,"244","At Risk"
"13167","United Kingdom","19","4","791.33",2,2,3,"223","Others"
"16406","United Kingdom","19","1","163.07",2,5,5,"255","At Risk"
"18040","United Kingdom","19","2","357.20",2,4,4,"244","At Risk"
"17561","United Kingdom","19","1","167.62",2,5,5,"255","At Risk"
"13832","United Kingdom","19","1","52.20",2,5,5,"255","At Risk"
"14447","United Kingdom","19","5","1163.23",2,2,2,"222","Sleeping"
"15645","United Kingdom","19","1","612.01",2,5,3,"253","At Risk"
"14860","United Kingdom","19","1","170.32",2,5,5,"255","At Risk"
"17384","United Kingdom","19","2","336.40",2,4,4,"244","At Risk"
"13673","United Kingdom","19","2","396.92",2,3,4,"234","Big Spenders"
"14300","United Kingdom","19","1","43.20",2,5,5,"255","At Risk"
"17425","United Kingdom","19","2","759.17",2,3,3,"233","At Risk"
"16399","United Kingdom","19","2","408.57",2,3,4,"234","Big Spenders"
"15567","United Kingdom","19","1","186.01",2,5,5,"255","At Risk"
"16139","United Kingdom","19","3","635.41",2,3,3,"233","At Risk"
"14359","United Kingdom","19","3","912.18",2,3,3,"233","At Risk"
"17227","United Kingdom","19","6","939.32",2,1,3,"213","Others"
"14883","United Kingdom","19","6","761.59",2,1,3,"213","Others"
"12658","Germany","19","1","686.05",2,5,3,"253","At Risk"
"13189","United Kingdom","19","2","260.68",2,4,4,"244","At Risk"
"13565","United Kingdom","19","2","240.22",2,4,5,"245","At Risk"
"15671","United Kingdom","19","7","2657.13",2,1,1,"211","Sleeping"
"16533","United Kingdom","19","3","1095.56",2,2,2,"222","Sleeping"
"12597","Spain","19","4","3811.22",2,2,1,"221","Sleeping"
"15527","United Kingdom","19","8","2429.78",2,1,1,"211","Sleeping"
"15850","United Kingdom","19","2","238.85",2,4,5,"245","At Risk"
"17758","United Kingdom","19","8","3456.70",2,1,1,"211","Sleeping"
"12349","Italy","19","1","1757.55",2,5,2,"252","Others"
"13427","United Kingdom","19","3","582.60",2,2,3,"223","Others"
"13971","United Kingdom","19","8","2758.26",2,1,1,"211","Sleeping"
"17738","United Kingdom","19","4","1879.05",2,2,2,"222","Sleeping"
"16411","United Kingdom","19","2","214.65",2,4,5,"245","At Risk"
"14984","United Kingdom","19","2","213.27",2,4,5,"245","At Risk"
"12795","Portugal","19","1","430.48",2,5,4,"254","At Risk"
"15676","United Kingdom","19","3","3435.76",2,2,1,"221","Sleeping"
"17664","United Kingdom","19","2","604.64",2,3,3,"233","At Risk"
"14587","United Kingdom","19","9","1601.14",2,1,2,"212","Sleeping"
"18080","United Kingdom","19","2","1231.50",2,3,2,"232","Others"
"12984","United Kingdom","19","1","97.50",2,4,5,"245","At Risk"
"12462","Spain","19","2","1189.59",2,3,2,"232","Others"
"17636","United Kingdom","19","1","285.56",2,4,4,"244","At Risk"
"16710","United Kingdom","19","10","2483.04",2,1,1,"211","Sleeping"
"15857","United Kingdom","19","1","297.00",2,4,4,"244","At Risk"
"13142","United Kingdom","19","1","307.09",2,4,4,"244","At Risk"
"12523","France","19","11","1789.77",2,1,2,"212","Sleeping"
"15745","United Kingdom","19","4","1094.59",2,2,2,"222","Sleeping"
"13430","United Kingdom","19","2","679.45",2,3,3,"233","At Risk"
"15533","United Kingdom","19","3","807.57",2,2,3,"223","Others"
"12395","Belgium","19","12","3018.63",2,1,1,"211","Sleeping"
"16212","United Kingdom","19","2","690.34",2,3,3,"233","At Risk"
"14449","United Kingdom","19","4","907.10",2,2,3,"223","Others"
"16666","United Kingdom","19","1","118.98",2,4,5,"245","At Risk"
"16366","United Kingdom","19","1","327.30",2,4,4,"244","At Risk"
"13200","United Kingdom","19","4","870.09",2,2,3,"223","Others"
"16713","United Kingdom","19","15","6923.13",2,1,1,"211","Sleeping"
"13823","United Kingdom","19","2","957.66",2,3,2,"232","Others"
"15738","United Kingdom","19","16","4812.42",2,1,1,"211","Sleeping"
"18127","United Kingdom","19","3","348.73",2,2,4,"224","Big Spenders"
"15044","United Kingdom","19","17","7700.23",2,1,1,"211","Sleeping"
"14950","United Kingdom","19","1","371.20",2,4,4,"244","At Risk"
"15988","United Kingdom","19","1","158.03",2,5,5,"255","At Risk"
"15426","United Kingdom","19","5","1447.39",2,2,2,"222","Sleeping"
"14553","United Kingdom","19","5","859.27",2,2,3,"223","Others"
"14664","United Kingdom","20","2","637.89",2,3,3,"233","At Risk"
"17387","United Kingdom","20","2","784.11",2,3,3,"233","At Risk"
"14159","United Kingdom","20","11","4693.01",2,1,1,"211","Sleeping"
"14157","United Kingdom","20","2","432.88",2,3,4,"234","Big Spenders"
"12778","Netherlands","20","6","822.23",2,1,3,"213","Others"
"12702","Germany","20","1","219.00",2,5,5,"255","At Risk"
"17555","United Kingdom","20","2","483.26",2,3,4,"234","Big Spenders"
"18110","United Kingdom","20","1","236.30",2,5,5,"255","At Risk"
"14052","United Kingdom","20","1","225.36",2,5,5,"255","At Risk"
"16506","United Kingdom","20","2","90.30",2,4,5,"245","At Risk"
"14116","United Kingdom","20","5","1382.74",2,2,2,"222","Sleeping"
"16784","United Kingdom","20","1","107.60",2,4,5,"245","At Risk"
"14477","United Kingdom","20","4","1309.60",2,2,2,"222","Sleeping"
"13988","United Kingdom","20","6","4147.96",2,1,1,"211","Sleeping"
"15906","United Kingdom","20","7","1567.69",2,1,2,"212","Sleeping"
"15963","United Kingdom","20","2","470.76",2,3,4,"234","Big Spenders"
"14502","United Kingdom","20","11","2470.67",2,1,1,"211","Sleeping"
"16464","United Kingdom","20","3","1314.68",2,3,2,"232","Others"
"15465","United Kingdom","20","18","7354.62",2,1,1,"211","Sleeping"
"14525","United Kingdom","20","9","4332.20",2,1,1,"211","Sleeping"
"16762","United Kingdom","20","3","1501.38",2,3,2,"232","Others"
"15919","United Kingdom","20","2","639.89",2,3,3,"233","At Risk"
"13118","United Kingdom","20","5","1197.81",2,2,2,"222","Sleeping"
"12540","Spain","20","17","13400.24",2,1,1,"211","Sleeping"
"14881","United Kingdom","20","1","255.40",2,4,4,"244","At Risk"
"14595","United Kingdom","20","6","1740.60",2,1,2,"212","Sleeping"
"13212","United Kingdom","20","3","788.08",2,3,3,"233","At Risk"
"17063","United Kingdom","21","7","1461.14",2,1,2,"212","Sleeping"
"17621","United Kingdom","21","3","1379.90",2,3,2,"232","Others"
"13516","United Kingdom","21","3","1389.41",2,3,2,"232","Others"
"16924","United Kingdom","21","3","846.75",2,3,3,"233","At Risk"
"15088","United Kingdom","21","2","1160.07",2,3,2,"232","Others"
"16463","United Kingdom","21","4","1422.40",2,2,2,"222","Sleeping"
"17301","United Kingdom","21","1","197.63",2,5,5,"255","At Risk"
"16279","United Kingdom","21","3","1509.58",2,3,2,"232","Others"
"14342","United Kingdom","21","4","668.56",2,2,3,"223","Others"
"14820","United Kingdom","21","4","507.29",2,2,3,"223","Others"
"13960","United Kingdom","21","2","230.22",2,4,5,"245","At Risk"
"17888","United Kingdom","21","8","726.05",2,1,3,"213","Others"
"17650","United Kingdom","21","1","166.08",2,5,5,"255","At Risk"
"15368","United Kingdom","21","1","446.94",2,5,4,"254","At Risk"
"17904","United Kingdom","21","1","191.67",2,5,5,"255","At Risk"
"12498","Germany","21","3","403.70",2,3,4,"234","Big Spenders"
"17779","United Kingdom","21","3","658.57",2,3,3,"233","At Risk"
"14903","United Kingdom","21","5","2810.63",2,2,1,"221","Sleeping"
"14285","United Kingdom","21","4","1910.01",2,2,2,"222","Sleeping"
"13880","United Kingdom","21","13","3219.77",2,1,1,"211","Sleeping"
"14793","United Kingdom","21","1","228.99",2,5,5,"255","At Risk"
"17961","United Kingdom","21","39","1296.44",2,1,2,"212","Sleeping"
"12578","Italy","21","2","2794.51",2,3,1,"231","Others"
"15933","United Kingdom","21","3","1107.46",2,2,2,"222","Sleeping"
